timestamps,TP9,AF7,AF8,TP10,Right AUX
1731646379.755,-42.969,-46.387,-15.625,-120.605,0.000
1731646379.759,-47.852,-55.176,-17.090,-111.816,0.000
1731646379.763,-45.898,-40.039,-13.672,-112.305,0.000
1731646379.767,-47.852,-36.621,-10.742,-119.629,0.000
1731646379.771,-36.621,-37.598,-8.301,-118.164,0.000
1731646379.775,-23.438,-36.133,-9.766,-123.535,0.000
1731646379.779,-20.020,-31.738,-17.578,-120.117,0.000
1731646379.783,-30.273,-35.645,-17.578,-112.793,0.000
1731646379.787,-41.992,-40.527,-12.207,-112.793,0.000
1731646379.790,-45.898,-31.250,-21.484,-102.051,0.000
1731646379.794,-46.387,-25.391,-14.648,-88.379,0.000
1731646379.798,-13.184,-30.273,-2.441,-69.336,0.000
1731646379.802,-30.273,-48.828,-12.695,-101.074,0.000
1731646379.806,-61.035,-48.340,-22.949,-126.465,0.000
1731646379.810,-33.203,-40.527,-25.879,-115.234,0.000
1731646379.814,-55.664,-44.922,-28.809,-135.254,0.000
1731646379.818,-60.059,-53.223,-28.809,-145.508,0.000
1731646379.822,-18.555,-46.875,-26.855,-127.930,0.000
1731646379.826,-33.691,-40.527,-25.879,-135.742,0.000
1731646379.830,-43.457,-32.715,-24.414,-119.141,0.000
1731646379.833,-19.043,-31.250,-22.949,-63.477,0.000
1731646379.837,-19.043,-32.227,-22.461,-78.125,0.000
1731646379.841,-27.344,-16.113,-23.438,-93.750,0.000
1731646379.845,-19.531,-24.414,-25.879,-97.168,0.000
1731646379.849,-23.438,-47.852,-22.461,-113.770,0.000
1731646379.853,-50.781,-42.480,-16.113,-102.539,0.000
1731646379.857,-50.781,-36.621,-15.625,-99.609,0.000
1731646379.861,-41.016,-39.062,-20.508,-100.098,0.000
1731646379.865,-37.109,-49.316,-22.949,-116.699,0.000
1731646379.869,-30.762,-57.617,-30.273,-104.492,0.000
1731646379.872,-51.270,-40.039,-37.598,-97.168,0.000
1731646379.876,-74.707,-29.785,-30.762,-117.188,0.000
1731646379.880,-60.059,-20.020,-22.949,-106.934,0.000
1731646379.884,-37.598,-28.809,-19.043,-104.980,0.000
1731646379.888,-25.879,-27.832,-19.531,-89.844,0.000
1731646379.892,-40.039,-23.926,-23.926,-72.754,0.000
1731646379.896,-67.871,-39.062,-23.926,-90.332,0.000
1731646379.900,-47.852,-39.551,-18.555,-83.984,0.000
1731646379.904,-42.969,-32.715,-11.230,-71.289,0.000
1731646379.908,-61.523,-24.902,-13.672,-74.219,0.000
1731646379.912,-45.410,-42.969,-21.484,-71.777,0.000
1731646379.915,-26.855,-53.223,-14.648,-58.105,0.000
1731646379.919,-22.461,-46.875,-19.043,-55.664,0.000
1731646379.923,-37.598,-33.691,-30.273,-92.773,0.000
1731646379.927,-58.594,-33.691,-33.691,-125.488,0.000
1731646379.931,-52.246,-44.922,-34.180,-115.723,0.000
1731646379.935,-48.828,-29.297,-33.203,-90.820,0.000
1731646379.939,-62.500,-23.926,-33.203,-89.844,0.000
1731646379.943,-62.988,-36.133,-27.832,-97.168,0.000
1731646379.947,-85.938,-40.527,-26.855,-117.188,0.000
1731646379.951,-107.422,-42.969,-32.715,-126.465,0.000
1731646379.954,-107.910,-56.152,-37.598,-120.605,0.000
1731646379.958,-101.074,-53.711,-37.109,-111.816,0.000
1731646379.962,-81.543,-32.227,-31.738,-89.355,0.000
1731646379.966,-71.289,-35.156,-39.062,-127.441,0.000
1731646379.970,-73.730,-30.762,-32.715,-131.348,0.000
1731646379.974,-75.684,-19.043,-25.391,-107.910,0.000
1731646379.978,-87.891,-24.902,-29.297,-143.066,0.000
1731646379.982,-85.449,-23.438,-34.180,-125.977,0.000
1731646379.986,-71.777,-36.621,-34.180,-113.770,0.000
1731646379.990,-74.707,-49.805,-26.855,-104.004,0.000
1731646379.994,-70.801,-54.199,-27.832,-88.379,0.000
1731646379.997,-58.594,-49.316,-26.367,-90.332,0.000
1731646380.001,-42.480,-45.898,-20.996,-59.570,0.000
1731646380.005,-21.973,-50.293,-16.113,-47.363,0.000
1731646380.009,-24.902,-34.668,-22.949,-44.922,0.000
1731646380.013,-40.039,-34.668,-30.273,-65.918,0.000
1731646380.017,-28.320,-42.480,-26.855,-81.055,0.000
1731646380.021,-20.020,-41.016,-26.855,-57.129,0.000
1731646380.025,-18.066,-46.875,-26.367,-38.086,0.000
1731646380.029,-14.648,-34.668,-29.297,-21.484,0.000
1731646380.033,-31.738,-20.020,-38.086,-20.020,0.000
1731646380.037,-44.922,-31.250,-41.992,-34.668,0.000
1731646380.040,-40.527,-44.434,-34.180,-31.738,0.000
1731646380.044,-45.410,-42.480,-33.203,-34.180,0.000
1731646380.048,-38.574,-31.738,-37.109,-43.457,0.000
1731646380.052,-14.648,-34.180,-32.227,-16.113,0.000
1731646380.056,19.531,-42.969,-23.926,8.301,0.000
1731646380.060,12.207,-35.156,-25.391,-0.977,0.000
1731646380.064,-31.738,-33.691,-32.715,-23.926,0.000
1731646380.068,-44.434,-32.227,-37.109,-44.922,0.000
1731646380.072,-32.227,-41.504,-38.086,-21.484,0.000
1731646380.076,-13.184,-43.945,-37.109,-13.672,0.000
1731646380.079,-4.883,-40.527,-41.992,-43.457,0.000
1731646380.083,-24.902,-48.828,-42.480,-50.293,0.000
1731646380.087,-39.551,-36.621,-33.203,-31.738,0.000
1731646380.091,-36.621,-37.598,-37.109,-20.996,0.000
1731646380.095,-31.250,-35.156,-41.504,-22.949,0.000
1731646380.099,-20.020,-45.898,-38.086,-36.133,0.000
1731646380.103,-20.996,-57.129,-30.273,-34.180,0.000
1731646380.107,-29.785,-41.992,-22.949,-28.320,0.000
1731646380.111,-32.715,-25.879,-25.879,-38.574,0.000
1731646380.115,-41.504,-33.203,-32.715,-60.059,0.000
1731646380.119,-39.551,-39.062,-32.715,-29.785,0.000
1731646380.122,-27.344,-16.113,-26.855,-2.441,0.000
1731646380.126,-14.648,-18.555,-26.855,-30.273,0.000
1731646380.130,-19.531,-39.062,-31.250,-41.992,0.000
1731646380.134,-39.551,-35.156,-37.598,-58.594,0.000
1731646380.138,-43.945,-21.973,-33.203,-54.688,0.000
1731646380.142,-19.531,-28.809,-30.273,-33.691,0.000
1731646380.146,-11.719,-41.504,-37.109,-21.973,0.000
1731646380.150,-46.387,-41.016,-37.109,-26.855,0.000
1731646380.154,-54.199,-42.480,-36.133,-37.109,0.000
1731646380.158,-23.438,-46.875,-36.621,-15.625,0.000
1731646380.162,-28.809,-40.527,-39.062,-1.953,0.000
1731646380.165,-37.598,-27.832,-39.062,-20.508,0.000
1731646380.169,-26.855,-9.277,-33.691,-20.508,0.000
1731646380.173,-24.414,-15.625,-30.273,-26.367,0.000
1731646380.177,-26.367,-33.203,-32.227,-49.316,0.000
1731646380.181,-38.574,-40.039,-37.109,-39.062,0.000
1731646380.185,-45.410,-42.969,-37.598,-49.316,0.000
1731646380.189,-29.297,-29.297,-34.668,-55.664,0.000
1731646380.193,-22.461,-24.414,-27.832,-21.973,0.000
1731646380.197,-44.922,-31.250,-31.738,-19.043,0.000
1731646380.201,-36.133,-36.621,-31.738,-18.555,0.000
1731646380.204,-4.395,-28.320,-22.949,21.973,0.000
1731646380.208,-21.973,-13.672,-31.250,-5.371,0.000
1731646380.212,-50.781,-13.672,-36.621,-35.645,0.000
1731646380.216,-17.090,-1.465,-28.809,22.949,0.000
1731646380.220,-26.367,1.465,-32.715,-5.371,0.000
1731646380.224,-57.617,-10.254,-36.133,-73.242,0.000
1731646380.228,-28.320,-10.742,-25.879,-67.383,0.000
1731646380.232,-23.438,-9.277,-22.461,-64.453,0.000
1731646380.236,-48.828,-17.578,-27.832,-68.848,0.000
1731646380.240,-52.246,-18.555,-16.113,-50.293,0.000
1731646380.244,-33.691,-13.672,-14.648,-34.668,0.000
1731646380.247,-34.180,-11.719,-22.461,-44.434,0.000
1731646380.251,-31.250,-19.531,-23.438,-50.293,0.000
1731646380.255,-15.625,-25.391,-28.320,-20.020,0.000
1731646380.259,-25.879,-18.555,-30.273,-14.160,0.000
1731646380.263,-20.020,-11.230,-29.297,-25.391,0.000
1731646380.267,15.625,-3.418,-30.273,1.953,0.000
1731646380.271,-1.465,-13.672,-37.598,-10.742,0.000
1731646380.275,-40.527,-27.832,-31.250,-62.500,0.000
